,new_id,enrolled,To which of the following do you have access to this Spring Quarter?,"Use the map below to answer this question. During this quarter, what time zone are you in? (For example, if you are in San Diego, your answer would be -7. If you are in UTC, respond with 0)","Check all that apply: Before COGS 108, which of the following skills do you feel you possess? (Note: you're not expected to have any of these before taking the class; we're just curious!)",In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?
27,026_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,None of these,"Java, None of these (I'm not comfortable programming)",none of the above,5.0,3.0
28,027_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,Communicate results concisely and effectively in reports and presentations,None of these (I'm not comfortable programming),none of the above,7.0,4.0
29,028_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, none of the above, pandas (the package, not the animal), sklearn, A|B testing",6.0,9.0
30,029_fa21,1,Reliable Internet,-7.0,None of these,Python,"Python, Jupyter Notebooks",5.0,6.0
31,030_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, p-hacking, A|B testing",8.0,7.0
32,031_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",6.0,7.0
33,032_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",6.0,8.0
34,033_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,Communicate results concisely and effectively in reports and presentations,Python,"data science, GitHub, Python, Jupyter Notebooks, confounding, p-value",8.0,7.0
35,034_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8.0,8.0
36,035_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Communicate results concisely and effectively in reports and presentations, None of these","Python, Java","version control (i.e. git), Python, Jupyter Notebooks, JSON, machine learning, A|B testing",3.0,5.0
